
Package                    GoFiles
-------                    -------
internal/api                   434
internal/ai                    394
internal/database              143
internal/tesla                 101
internal/automation             60
internal/domain                 40
internal/platform               37
internal/fsm                    36
internal/models                 36
internal/app                    34
internal/adapter                30
internal/handler                30
internal/jobs                   25
internal/signal                 24
internal/port                   17
internal/export                 14
internal/mqtt                   14
internal/polling                12
internal/worker                 11
internal/ml                     11
internal/notification           11
internal/auth                   10
internal/tesla_pipeline          9
cmd/protogen-tesla               9
cmd/slogen                       9
internal/metrics                 8
internal/tracing                 8
cmd/teslasync                    7
internal/geocoding               7
internal/resilience              6
internal/ocpp                    6
internal/integrations            6
internal/enums                   6
internal/apilog                  5
internal/outbox                  5
internal/crypto                  5
internal/service                 5
internal/cache                   4
internal/synthetic               4
internal/slo                     4
internal/chaos                   4
internal/config                  4
internal/backup                  4
internal/dataquality             4
internal/alertmsg                4
internal/audit                   3
internal/arch                    3
cmd/resubscribe                  3
internal/webpush                 3
cmd/fleet-config-validator       3
internal/imaging                 3
internal/v2h                     3
internal/backupverify            3
internal/flags                   3
internal/events                  3
internal/notifier                3
internal/rotation                3
cmd/unit-drift-validator         3
internal/schemacheck             3
cmd/chaos-runner                 2
cmd/export-worker                2
cmd/automation-worker            2
internal/units                   2
cmd/notification-worker          2
cmd/ocpp-server                  2
cmd/trace-coverage-audit         2
cmd/pub-test-signal              2
cmd/audit-signal-types           2
cmd/slo-coverage-audit           2
cmd/ai-eval                      2
cmd/backup-verify                2
cmd/metric-coverage-audit        2

