
Package                    GoFiles
-------                    -------
internal/api                   434
internal/ai                    394
internal/database              143
internal/tesla                 101
internal/automation             60
internal/domain                 40
internal/platform               37
internal/fsm                    36
internal/models                 36
internal/app                    34
internal/handler                30
internal/adapter                30
internal/jobs                   25
internal/signal                 24
internal/port                   17
internal/mqtt                   14
internal/export                 14
internal/polling                12
internal/ml                     11
internal/worker                 11
internal/notification           11
internal/auth                   10
cmd/slogen                       9
cmd/protogen-tesla               9
internal/tesla_pipeline          9
internal/metrics                 8
internal/tracing                 8
internal/geocoding               7
cmd/teslasync                    7
internal/enums                   6
internal/resilience              6
internal/outbox                  5
internal/service                 5
internal/ocpp                    5
internal/apilog                  5
internal/crypto                  5
internal/integrations            5
internal/alertmsg                4
internal/backup                  4
internal/config                  4
internal/cache                   4
internal/notifier                3
cmd/resubscribe                  3
internal/arch                    3
internal/audit                   3
internal/synthetic               3
internal/webpush                 3
internal/chaos                   3
internal/imaging                 3
internal/flags                   3
internal/events                  3
internal/slo                     3
internal/dataquality             3
cmd/unit-drift-validator         3
internal/schemacheck             3
internal/rotation                3
cmd/ai-eval                      2
cmd/trace-coverage-audit         2
internal/backupverify            2
cmd/slo-coverage-audit           2
cmd/pub-test-signal              2
internal/units                   2
cmd/export-worker                2
cmd/metric-coverage-audit        2
cmd/fleet-config-validator       2
internal/v2h                     2
cmd/automation-worker            2
cmd/notification-worker          2
cmd/chaos-runner                 1
cmd/backup-verify                1
cmd/ocpp-server                  1

